Roaster	Coffeename	Region	Producer	Variety	Processing	Tastingnotes	Filename	Country	Altitude	Directtrade	J	Process	Varietal	Harvet	Procesing	Url	Farm	Harvesttime	Certification	Latitude	Bean
Sey Coffee	Asefa Dukamo	Bensa, Sidama	QUNQNA #2	NA	NA	florals,  melons,  stone fruit, tropicals	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Ethiopia	1,900-2100 masl	NA	12	HONEY	Ethiopian Landrace	January, 2020	Hand picked at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Honey processed; dried on raised beds with mucilage intact and without fermentation for 10-12 days.	https://www.seycoffee.com/collections/archived-coffees/products/asefa-dukamo	NA	NA	NA	NA	NA
Sey Coffee	San Gabriel	Uchumachi, Caranavi	GABRIEL CHURA	NA	NA	citrus acidity,  plum fruits,  softer,  with an almost cane sugar sweetness, blackberry	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Bolivia	1,425 masl	NA	13	WASHED	Red and Yellow Catuai	September, 2019	Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 18 hours. Dried on raised beds.	https://www.seycoffee.com/collections/archived-coffees/products/san-gabriel	NA	NA	NA	NA	NA
Sey Coffee	Finca Danny	Acevedo, Huila	JHON WILSON POVEDA	NA	NA	a nice articulated lemon zest acidity,  body,  chocolaty sweetness,  love from Jhon Wilson Poveda: heavy currant fruit, know	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,700 masl	NA	14	WASHED	V. Colombia, Castillo, Caturra	Mitaca; June, 2019	Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 30 days.	https://www.seycoffee.com/collections/archived-coffees/products/finca-danny-mitaca	NA	NA	NA	NA	NA
Sey Coffee	Finca Danny	Acevedo, Huila	FLOR MILENA	NA	NA	a lively acidity,  with deep sweetness, fruits	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,700 masl	NA	15	WASHED	V. Colombia, Castillo, Caturra	Main; December, 2019	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.	https://www.seycoffee.com/collections/archived-coffees/products/flor-milena	NA	NA	NA	NA	NA
Sey Coffee	Mas Morenos	Santa Bárbara	Mario Moreno	NA	NA	balance,  has excellent depth of structure, sweetness-focused	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Honduras	1,650 masl	NA	16	Washed	Pacas, Cataui	May, 2019	Harvested at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.	https://www.seycoffee.com/collections/archived-coffees/products/mas-morenos-1	NA	NA	NA	NA	NA
Sey Coffee	El Placer	San Antonio, Tolima	Jesus Antonio Saavedra	NA	NA	clarity,  has excellent sweetness, fruits	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	2,125 masl	NA	17	Washed	Castillo	Mitaca; December, 2019	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36 hours. Dried on raised beds until moisture content reaches 10.5%.	https://www.seycoffee.com/collections/archived-coffees/products/el-placer-castillo-2020	NA	NA	NA	NA	NA
Sey Coffee	El Baisero	Berlin, Planadas, Tolima	MARLENY OLAYA MURCIA	NA	NA	panela,  stone fruit, cherry	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	2,114 masl	NA	18	WASHED	Caturra, Colombia, Typica	August, 2020	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24-36 hours. Dried on raised beds for 15-20 days.	https://www.seycoffee.com/collections/archived-coffees/products/el-baisero	NA	NA	NA	NA	NA
Sey Coffee	Finca Paraiso	Tarqui	SINFOROSO RAMOS	NA	NA	papaya-like florality,  rounds out with a satisfyingly ripe plum sweetness, tea	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	2,000 masl	NA	19	WASHED	Caturra	June, 2019	Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 25 days.	https://www.seycoffee.com/collections/archived-coffees/products/finca-paraiso	NA	NA	NA	NA	NA
Sey Coffee	Gatomboya	Nyeri	NA	NA	NA	a bright Kenyan acidity,  ripe plum with a tropical fruit complexity, round	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Kenya	1,770 masl	NA	20	WASHED	SL28, SL32, Ruiru 11, Batian	January, 2020	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Density graded and separated. Dry fermented for 16-24 hours. Washed, and again density graded into AA and AB. Soaked under clean water from the Gatomboya Stream for 8-14 hours. Dried on raised beds until moisture content reaches 10.4%.	https://www.seycoffee.com/collections/archived-coffees/products/gatomboya	NA	NA	NA	NA	NA
Sey Coffee	Floripondio	Samaipata, Santa Cruz	LA FAMILIA RODRIGUEZ	NA	NA	papaya,  some fruit notes of plum,  sweet with a nice tea like florality, elegant	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Bolivia	1,710 masl	NA	21	WASHED	Caturra	June, 2019	Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 25 hours. Dried on raised beds for 25 days.	https://www.seycoffee.com/collections/archived-coffees/products/floripondio-caturra	NA	NA	NA	NA	NA
Sey Coffee	Mazateca #1	Sierra Mazateca, Oaxaca	NA	NA	NA	a soft lemon acidity,  blackberry,  darker fruits of plum,  syrupy sweetness, deep	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Mexico	1,800 - 2,000 masl	NA	22	WASHED	Typica, Bourbon	July, 2020	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24-36 hours. Dried on raised beds for 10-15 days.	https://www.seycoffee.com/collections/archived-coffees/products/mazateca-1	NA	NA	NA	NA	NA
Sey Coffee	Reina De Saba; Mitaca Harvesta	Santa Monica, San Agustín	ALEJANDRO RENJIFO	NA	NA	bergamot citrus oil,  fresh peach,  honeysuckle, jasmine	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,800 masl	NA	23	WASHED	Gesha	Mitaca; November, 2020	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.	https://www.seycoffee.com/collections/archived-coffees/products/reina-de-saba-mitaca-gesha-2020	NA	NA	NA	NA	NA
Sey Coffee	El Progresso	Alto Horizonte, Suaza, Huila	YAMIR ANACONA	NA	NA	almost violet-like,  cherry,  filled out with a delicate,  florality,  raspberry,  with a ripe sweetness of strawberry, structured	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,650 masl	NA	24	WASHED	V. Colombia, Caturra	October, 2019	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented in tanks for 22 hours. Dried on raised beds until moisture content is between 10% - 11%.	https://www.seycoffee.com/collections/archived-coffees/products/el-progresso	NA	NA	NA	NA	NA
Sey Coffee	Gaharo Hill	Muramvya	BUKEYE	NA	NA	honey,  tequila sunrise, plum	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Burundi	1,700 - 2,100 masl	NA	25	WASHED	Field Blend	May 6th - 25th, 2020	Hand picked at peak ripeness. Floated and hand sorted to further remove defects; depulped on the day of harvest. Single-fermented dry for 12 hours. Rinsed in fresh water. Density graded. Dried on traditional African raised beds for 16-20 days until moisture content reaches 10.5%.	https://www.seycoffee.com/collections/archived-coffees/products/gaharo-hill	NA	NA	NA	NA	NA
Sey Coffee	Buesaco	Buesaco, Nariño	THREE PRODUCER BLEND	NA	NA	lively citrus-froward acidity,  with a ripe stone fruit profile, clean	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	2,000 - 2,100 masl	NA	26	WASHED	Caturra	June, 2019	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented in tanks for 13-16 hours. Dried on raised beds for 12-18 days.	https://www.seycoffee.com/collections/archived-coffees/products/buesaco	NA	NA	NA	NA	NA
Sey Coffee	Finca El Meridiano	Quito	MARIO JOSE HERVAS	NA	NA	a nice honeysuckle subtlety in the cup,  raspberry complexity, juice	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Ecuador	1,450 masl	NA	27	WASHED	Mejorado	June - October, 2019	Hand-picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented in tanks for 18-20 hours. Dried on raised beds for 12-18 days.	https://www.seycoffee.com/collections/archived-coffees/products/finca-el-meridiano	NA	NA	NA	NA	NA
Sey Coffee	Lugmapata	Pallatanga	ENRIQUE MERINO	NA	NA	aromatic coffee is almost gesha-like in structure,  jasmine,  lemongrass,  with notes of fresh bergamot, floral	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Ecuador	1,700 masl	NA	28	WASHED	Mejorado	July - September, 2019	Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.	https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-mejorado	NA	NA	NA	NA	NA
Sey Coffee	Geta Bore	Gomma, Jimma	NA	NA	NA	a peach,  citrus complexity,  intense jasmine aromatics, sweetness	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Ethiopia	2,000 - 2,100 masl	NA	29	WASHED	Ethiopian Landrace	January, 2021	Hand picked at peak ripeness. Floated to further remove defects. Depulped using an eco-pulper. Soaked in clean water for 12 hours. Grade 1 density separated. Dried on raised beds for 9-14 days.	https://www.seycoffee.com/collections/archived-coffees/products/geta-bore	NA	NA	NA	NA	NA
Sey Coffee	Buena Vista	La Muralla, San Agustín, Huila	DAMIAN BOLAÑOS	NA	NA	citrus, watermelon	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,843 masl	NA	30	WASHED	Caturra, V. Colombia	July - August, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Dried in raised parabolic driers.	https://www.seycoffee.com/collections/archived-coffees/products/buena-vista	NA	NA	NA	NA	NA
Sey Coffee	Finca Danny	Acevedo, Huila	JHON WILSON POVEDA	NA	NA	depth,  elegant yet bright citrus-like acidities,  we find forest berries,  with a cocoa complexity, cup	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,700 masl	NA	31	WASHED	V. Colombia, Castillo, Caturra	Main; December, 2019	Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 30 days.	https://www.seycoffee.com/collections/archived-coffees/products/finca-danny-2020	NA	NA	NA	NA	NA
Sey Coffee	Ninga Hill	Muramvya	BUKEYE	NA	NA	a very uplifting lemon acidity,  red tea,  spice, fruits	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Burundi	1,800 - 2,000 masl	NA	32	WASHED	Field Blend	March 8th - May 14th, 2020	Hand picked at peak ripeness. Floated and hand sorted to further remove defects; depulped on the day of harvest. Single-fermented dry for 12 hours. Rinsed in fresh water. Density graded. Dried on traditional African raised beds for 16-20 days until moisture content reaches 10.5%.	https://www.seycoffee.com/collections/archived-coffees/products/ninga-hill	NA	NA	NA	NA	NA
Sey Coffee	Harbegona	Bensa, Sidama	HELEANNA GEORGALIS	NA	NA	elegant with a bright,  lively acidity, delicate	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Ethiopia	2,300 masl	NA	33	WASHED	Ethiopian Landrace	January, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Wet fermented for 12-14 hours. Dried on raised beds for 10-12 days.	https://www.seycoffee.com/collections/archived-coffees/products/harbegona-1	NA	NA	NA	NA	NA
Sey Coffee	Bensa Logita	Bensa, Sidama	HELEANNA GEORGALIS	NA	NA	passion fruit,  we taste ripe mango,  with an effervescent citrus acidity, cup	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Ethiopia	2,100 masl	NA	34	WASHED	Ethiopian Landrace	January, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Anaerobic fermented for 60 hours. Washed. Dried on raised beds for 16 days.	https://www.seycoffee.com/collections/archived-coffees/products/bensa-logita	NA	NA	NA	NA	NA
Sey Coffee	La Esperanza	San Agustín, Huila	ESNAIDER ORTEGA	NA	NA	a cocoa finish,  balanced acidity,  soft,  with ripe cherry, sweetness-driven	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,750 masl	NA	35	WASHED	Yellow Caturra	Mitaca; January, 2020	Hand picked at peak ripeness. Floated to further remove defects and pulped on the day of harvest. Dry fermented in oak barrels for 30 hours. Wood is used because it is how Esnaider’s grandfather used to ferment, and its porous nature potentially supports more microbiological activity, and therefore more interesting fermentation. The coffee is then hung to dry in sacks, and left to ferment for another 8 hours without mucilage. Dried for 34-40 days.	https://www.seycoffee.com/collections/archived-coffees/products/la-esperanza-2020	NA	NA	NA	NA	NA
Sey Coffee	Giakanja AA	Nyeri	NA	NA	NA	a softer—almost delicate—melon finish,  mango,  pink grapefruit,  we find intense acidity, cup	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Kenya	1,700 - 1,800 masl	NA	36	WASHED	SL28, SL34, Ruiru 11	December, 2019	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 16-24 hours. Soaked in clean water for an additional 24 hours. Dried on raised beds for 10-18 days.	https://www.seycoffee.com/collections/archived-coffees/products/giakanja-aa	NA	NA	NA	NA	NA
Sey Coffee	Finca El Mirador	Aipe, Huila	Jose Canacue	NA	NA	a delicate lemongrass acidity,  a ripe orange chocolate body, sweetness	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,940 masl	NA	37	Washed	V. Colombia	June - August, 2019	Hand picked at peak ripeness. Floated. Depulped. 12-hour fermentation in cherry, followed by a 40-hour dry fermentation. Dried on parabolic dryers until moisture content reaches 10.7%.	https://www.seycoffee.com/collections/archived-coffees/products/el-mirador	NA	NA	NA	NA	NA
Sey Coffee	El Placer	San Antonio, Tolima	Jesus Antonio Saavedra	NA	NA	forest berries,  notes of red tea, acidities	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	2,125 masl	NA	38	WASHED	Red Caturra	Mitaca; December, 2019	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36 hours. Dried on raised beds until moisture content reaches 10.5%.	https://www.seycoffee.com/collections/archived-coffees/products/el-placer-red-caturra-2020	NA	NA	NA	NA	NA
Sey Coffee	Sebastian Trujillo	Peñas Negras, Tarqui, Huila	FINCA GLOBITO	NA	NA	a lightly oxidized oolong florality,  a soft nuanced citrus acidity,  vanilla, fruit	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,700 masl	NA	39	WASHED	V. Colombia, Castillo, Caturra	Mitaca; November, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 40 hours. Dried on raised beds for 20-30 days.	https://www.seycoffee.com/collections/archived-coffees/products/sebastian-trujillo	NA	NA	NA	NA	NA
Sey Coffee	Finca Bianca	Triunfo, Tarqui, Huila	JOSÉ OSORIO	NA	NA	a delicate florality,  a subtle citrus acidity,  berries,  more fruit forward profile of grape, sweet	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,850 masl	NA	40	WASHED	V. Colombia, Castillo, Caturra	November, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 36 hours. Washed twice in clean water. Dried on raised beds for 15-20 days.	https://www.seycoffee.com/collections/archived-coffees/products/jose-osorio	NA	NA	NA	NA	NA
Sey Coffee	Angamaza	Conganama, Loja	Angel Capa Carrion	NA	NA	an excellent depth of sweetness,  has well balanced acidity, fruit-forward	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Ecuador	2,080 masl	NA	41	Washed	Caturra, Typica, San Salvador	July - September, 2019	Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 36 hours. Dried on raised beds for 10 days until moisture content reaches 10.5%.	https://www.seycoffee.com/collections/archived-coffees/products/angamaza	NA	NA	NA	NA	NA
Sey Coffee	El Pino	Acevedo, Huila	MARIA LUNID ASCENCIO	NA	NA	citrus,  we find currants,  wine, cup	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,750 masl	NA	42	WASHED	Variety Colombia	Main; December, 2019	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 12 hours, pulped, and dry fermented for an additional 36 hours. Dried on raised beds until moisture content reaches 10-11%.	https://www.seycoffee.com/collections/archived-coffees/products/el-pino	NA	NA	NA	NA	NA
Sey Coffee	Piedras Amarillas	Santa Bárbara	Mario Moreno	NA	NA	is slightly more delicate,  oxidized oolong tea with lemony acidity,  pushing into a light, sweetness	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Honduras	1,650 masl	NA	43	Washed	Pacas	May 2019	Harvested at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.	https://www.seycoffee.com/collections/archived-coffees/products/piedras-amarillas	NA	NA	NA	NA	NA
Sey Coffee	Buena Vista	Santa Bárbara	KEDVIN MORENO	NA	NA	a complex dynamic acidity,  raspberry,  strawberry,  we taste lively red fruit, cup	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Honduras	1,540 masl	NA	44	WASHED	Pacas	May, 2020	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24 hours, then washed three times. Dried on raised beds until moisture content reaches 10-11%.	https://www.seycoffee.com/collections/archived-coffees/products/kedvin-moreno	NA	NA	NA	NA	NA
Sey Coffee	Samarcanda	Acevedo, Huila	FIDEL ROJAS	NA	NA	delicate florals,  very sweet finish,  with a clean, apple	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,480 masl	NA	45	WASHED	Pink Bourbon	Main; December, 2019	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 12 hours, then fermented pulped for 30 hours. Dried on raised beds until moisture content reaches 10-11%.	https://www.seycoffee.com/collections/archived-coffees/products/samarcanda	NA	NA	NA	NA	NA
Sey Coffee	Finca Bitalina	Santa Bárbara	Bitalina Lopez	NA	NA	{mso-data-placement:same-cell;}-->	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Honduras	1,750 masl	NA	46	Washed	50% Pacas, 50% Bourbon	May, 2020	Harvested at peak ripeness. Floated. Dry fermented for 22 hours. Manually washed six times with clean water. Dried on raised beds for 15 days.	https://www.seycoffee.com/collections/archived-coffees/products/finca-bitalina	NA	NA	NA	NA	NA
Sey Coffee	El Paraïso	Gigante	ERNEDIS RODRIGUEZ	NA	NA	lemon candy,  molasses,  this 100% Caturra lot is sweetness-forward; we taste panela, cup	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Colombia	1,840 masl	NA	47	WASHED	Caturra	June, 2020	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 24 hours. Dry fermented for 36 hours. Dried in parabolic dryers for 18-25 days.	https://www.seycoffee.com/collections/archived-coffees/products/el-paraiso	NA	NA	NA	NA	NA
Sey Coffee	Mutana Hill	Kayanza	HEZA	NA	NA	Concord grape,  date, citrus	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Burundi	2,100 - 2,200 masl	NA	48	WASHED	Field Blend	May 16th - 18th, 2020	Hand picked at peak ripeness. Floated and hand sorted to further remove defects; depulped on the day of harvest. Double-fermented dry for 12 hours, then 24 hours submerged in water. Rinsed in fresh water. Density graded. Dried on traditional African raised beds for 16-20 days until moisture content reaches 10.5%.	https://www.seycoffee.com/collections/archived-coffees/products/mutana-hill	NA	NA	NA	NA	NA
Sey Coffee	Sitio São Miguel	Domingos Martins, Espírito Santo	Eusébio Venturim	NA	NA	blueberry,  white tea, oil	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Brazil	1,000 masl	NA	49	WASHED	Catucaí 785	October, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Fermented. Dried on patios until moisture content reaches between 10%-11%.	https://www.seycoffee.com/collections/archived-coffees/products/eusebio-venturim	NA	NA	NA	NA	NA
Sey Coffee	Pedro Gomez	Tenejapa, Chiapas	NA	NA	NA	bright above average acidity,  coffee cherry,  mango,  notes of lychee, sweetness	../Automatic_Drip/R/outputs//SeyArchive_20210509.csv	Mexico	1,600 masl	NA	50	WASHED	Typica, Bourbon	May, 2020	Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 15-18 hours. Dried on raised beds for 7-10 days.	https://www.seycoffee.com/collections/archived-coffees/products/pedro-gomez	NA	NA	NA	NA	NA
Sey Coffee	Las Pulgas	Planadas, Tolima	IVAN MOLANO	NA	NA	a satisfying subtle acidity,  chocolate mouthfeel,  rounded out with red fruit,  soft, beautiful	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Colombia	2,070 masl	NA	1	WASHED	Caturra	July, 2019	Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Dried on raised beds until moisture content reaches 10.5%.	https://www.seycoffee.com/collections/archived-coffees/products/las-pulgas	NA	NA	NA	NA	NA
Sey Coffee	Yabitu Koba	Uraga, Guji	UGO BEGNE	NA	NA	jasmine-like florals,  layered with ripe watermelon,  singing acidity, cup	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Ethiopia	2,160 - 2,310 masl	NA	2	WASHED	JARC Selections & Ethiopian Landrace	January, 2020	Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.	https://www.seycoffee.com/collections/archived-coffees/products/yabitu-koba	NA	NA	NA	NA	NA
Sey Coffee	Benti Nenka	Hambela Wamena, Guji	GUDUBA WET MILL	NA	NA	excellent complexity of fruits—ripe peach,  melon—and a long vanilla finish,  sings with bergamot acidity,  star fruit, Guji	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Ethiopia	1925 - 2110 masl	NA	3	WASHED	Ethiopian Landrace	October, 2019	Harvested at peak ripeness. Floated. Depulped. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.	https://www.seycoffee.com/collections/archived-coffees/products/benti-nenka	NA	NA	NA	NA	NA
Sey Coffee	SEY x Street Dreams	Uraga, Guji	SUKE	NA	NA	crisp acidity while ranging in flavor from melon,  stone fruit to bright tropical fruits throughout, bright	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Ethiopia	1,900 - 2,150 masl	NA	4	WASHED	Ethiopian Landrace	October 2019 - January 2020	Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 20 days.	https://www.seycoffee.com/collections/archived-coffees/products/suke	NA	NA	NA	NA	NA
Sey Coffee	Gitwe Hill	Heza	HEZA	NA	NA	black tea aromatics with a good depth of sweetness,  citrus-like acidity,  ripe tropical fruit, sparkling	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Burundi	1,859 - 2,098 masl	NA	5	WASHED	Mibirizi, Red Bourbon	April 6, 10, 12, and 15, 2019	Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 12-18 hours. Dried on raised beds for 30 days.	https://www.seycoffee.com/collections/archived-coffees/products/gitwe-hill	NA	NA	NA	NA	NA
Sey Coffee	Lugmapata	Pallatanga	ENRIQUE MERINO	NA	NA	a whisper of delicate florals,  almost wine-like acidity,  red berries, heavy	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Ecuador	1,700 masl	NA	6	WASHED	Sidra	July - September, 2019	Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.	https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-sidra	NA	NA	NA	NA	NA
Sey Coffee	Lot #8	Gedeb, Gedeo	Danche	NA	NA	a lively citrus acidity,  peach,  watermelon, florals	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Ethiopia	2,200 masl	NA	7	WASHED	Ethiopian Landrace	January, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Fermented underwater for 36 hours. Dried on raised beds for 10-14 days.	https://www.seycoffee.com/collections/archived-coffees/products/danche-lot-8	NA	NA	NA	NA	NA
Sey Coffee	Piedras Amarillas	Santa Bárbara	Mario Moreno	NA	NA	blackberry,  orange blossom honey, lychee	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Honduras	1,650 masl	NA	8	WASHED	Pacas	June, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.	https://www.seycoffee.com/collections/archived-coffees/products/piedras-amarillas-pacas-2020	NA	NA	NA	NA	NA
Sey Coffee	Lote Sofia	Santa Bárbara	Mario Moreno	NA	NA	a lively pineapple-like acidity,  grape,  molasses, sweetness	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Honduras	1,650 masl	NA	9	WASHED	Pacas	June, 2020	Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.	https://www.seycoffee.com/collections/archived-coffees/products/lote-sofia	NA	NA	NA	NA	NA
Sey Coffee	Halo	Gedeb, Yirgacheffe	NA	NA	NA	cleaner side of the profiles we see from Gedeb,  crisp, bright	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Ethiopia	1,900 - 2,210 masl	NA	10	Washed	Ethiopian Landrace	January, 2019	Hand picked at peak ripeness. Fermented underwater for 24-48 hours. Dried on raised beds for 10-14 days.	https://www.seycoffee.com/collections/archived-coffees/products/halo	NA	NA	NA	NA	NA
Sey Coffee	Alasitas	La Paz, Caranavi	LA FAMILIA RODRIGUEZ	NA	NA	a lingering chocolate finish,  whisper of rose florality, articulation	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Bolivia	1,600 masl	NA	11	WASHED	Caturra	June, 2019	Harvested at peak ripeness. Floated. Depulped. Dry fermented for 20 hours. Dried on raised beds for 25 days.	https://www.seycoffee.com/collections/archived-coffees/products/alasitas	NA	NA	NA	NA	NA
Sey Coffee	Asefa Dukamo	Bensa, Sidama	QUNQNA #2	NA	NA	florals,  melons,  stone fruit, tropicals	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Ethiopia	1,900-2100 masl	NA	12	HONEY	Ethiopian Landrace	January, 2020	Hand picked at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Honey processed; dried on raised beds with mucilage intact and without fermentation for 10-12 days.	https://www.seycoffee.com/collections/archived-coffees/products/asefa-dukamo	NA	NA	NA	NA	NA
Sey Coffee	San Gabriel	Uchumachi, Caranavi	GABRIEL CHURA	NA	NA	citrus acidity,  plum fruits,  softer,  with an almost cane sugar sweetness, blackberry	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Bolivia	1,425 masl	NA	13	WASHED	Red and Yellow Catuai	September, 2019	Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 18 hours. Dried on raised beds.	https://www.seycoffee.com/collections/archived-coffees/products/san-gabriel	NA	NA	NA	NA	NA
Sey Coffee	Finca Danny	Acevedo, Huila	JHON WILSON POVEDA	NA	NA	a nice articulated lemon zest acidity,  body,  chocolaty sweetness,  love from Jhon Wilson Poveda: heavy currant fruit, know	../Automatic_Drip/R/outputs//SeyArchive_20210523.csv	Colombia	1,700 masl	NA	14	WASHED	V. Colombia, Castillo, Caturra	Mitaca; June, 2019	Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 30 days.	https://www.seycoffee.com/collections/archived-coffees/products/finca-danny-mitaca	NA	NA	NA	NA	NA
